文章,該当するタイプ
大半の人は、私のことを真面目で、単刀直入な人間だと見ている。結局のところ、そうだろう。,1
自分自身に関しては、常に正直で客観的であろうとしてきた。そして、どんな犠牲を払っても、良心に従おうと決めている。,1
羽目を外せる自分もいるが、それは基本的には自分らしくない。,1
頭の中の自分を裁く者とともに生きているようだ。それはときに賢明で分別があるが、多くの場合、ただ厳格で容赦がない,1
自分は完全であろうとして、大きな犠牲を払ってきたと感じる。,1
私は、ほかの人と同じくらい笑いたいと思っている―もっと頻繁に笑うべきだ！,1
理念や理想があるから、さらなる達成への意欲が湧く。そして、人生を意味や価値あるものに感じることができる。,1
なぜ、こんなにも多くの人が、これほど規範がないのか理解できない。,1
あまりにも多くのことを私が片づけなければならないため、ほかの人たちよりもきちんとしていなければならない,1
私は個人的使命感をもっている。何か高次のものに召「されて」いるとさえ感じるかもしれない。そして並外れたことを人生において達成するかもしれないと思う。,1
間違うのは嫌いだ。だからものごとが適切になされているか、徹底して確かめる傾向がある。,1
人生の大半において、正しいものは正しい、間違っているものは間違っていると信じてきた――それだけだ。,1
「これで十分だ」と放っておくことがなかなかできない。,1
多くの責任が私の肩にかかっている。私が臨機応変に対応していなかったら、どうなっていたか、神のみぞ知る、だ。,1
私は人間の崇高さと重圧下の美徳に深く心を動かされる。,1
私はほかの人たちに対する純粋な気づかいから、彼らの希望、夢、必要とするものに深くかかわる傾向がある。,2
人と親しく接することが自然にできる。会話のきっかけをたやすくつくることができ、みんなと愛称で呼び合う。,2
私がある程度の関心と励ましをあげると、人が温かく反応してくる。,2
のら犬を見ると、必ず家に連れて帰りたくなる。,2
自分が思いやりのある、寛容な人間であることが気持ちいい。,2
人にしてあげた多くのことについて、自分がそうしたのだとはなかなかいえない。でも、そのことに気づいたり、気にしたりしてもらえていないようだと、とても嫌になる,2
必要以上のことを人にしてあげることが多いのは確かだ。あまりにも多くを与えすぎ、自分のことを十分考えない。,2
私は人が自分を好きになるように仕向けているのに気づくことが多い――とくに最初、自分に関心がないように見えるとき。,2
私は友だちや家族同然の人たちを楽しませ、もてなすことに特別な喜びを感じる。,2
私は心温かく、人を支えることができるが、ほかの人が考える以上に気が強い。,2
私は大半の人たちよりも、オープンに人への思いを表現できる。,2
私は自分が気にかける人たちがどうなっているかを知るために、特別に努力する。,2
私は自分が、「人の傷ついた心を癒す」と思う。,2
私は健康やお金の問題によく苦労する。なぜなら、自分自身よりもほかの人のニーズや関心を優先するからだ。,2
人が歓迎され、大切にされたと感じるように特別な努力をするのが好きだ。,2
私は、自分のことをきわめて有能だと思っている。自分が有能で効率的でないときは、とても気になる。,3
私にとって、ものごとがうまくいっているときは、ありのままの自分や人生を生きている喜びで、内側から輝く。,3
私は人に、自分のできるだけ一番よい面を見せようとする。誰でもそうでしょう？,3
自分の気持ちになじめない傾向がある―はんの少しの間は何かについて強く感じるが、また現実的にことを進めていく。,3
私にとって、自分が成功していると感じるのは重要だ。望んでいる成功にまだ届いていなくても。,3
よかれあしかれ、自分の不安を隠すことが得意だ、私が本当は何を感じているか、人は決して推測できない！,3
人にいい印象を与えたい。そのため、私はふだんていねいで礼儀正しく、フレンドリーだ。,3
友人や同僚がどれだけうまくやっているか、私は知っている。そして自分自身と彼らを比較しがちである。,3
私は多くの場合、自分がしていることでベストになろうと努力する―‐自分が飛び抜けて優れていなければ、たいがいかかわらない。,3
ときに私は、日標を達成するため、少し近道せざるを得なかった。,3
自分が不安定なとき、どちらかというと人から離れ、冷淡になれる。,3
私がしたことの素晴らしさをほかの人が認めないときは、本当に気になる。,3
私は、大半の人よりも適応力がある。ものごとがうまくいっていなければ、自分が望む結果を得るために、どう自分の行動を変えたらいいかを知っている。,3
私は常にはっきりした目標をもっている。そして、それを達成するために、自分のやる気をどう引き出せばいいか知っている。,3
私は、仕事中毒の傾向がある―ものごとを達成していないと、漂流しているように感じる。,3
多くの人が、私のことを、謎めいていて気むずかしく矛盾していると見ている―そういう自分が好きなんだ！,4
自分の否定的な気持ちは、長い間抱えてからでないと手放せない。,4
私は、自分がひとりで孤独だと感じることがよくある。親しい人たちのそばにいても。,4
自分が批判されたり、誤解されたら、人から離れてすねる傾向がある。,4
自分の創造性を活かせなければ、プロジェクトにかかわるのは難しい。,4
私は、ルールに従わなかったり、期待されたとおりにしない傾向がある。なぜなら、何をするうえでも自分らしさを付け加えたいからだ。,4
大半の人の基準からすると、私はかなリドラマティックで移り気だ。,4
私は、必ずしも現実に起きたことのない光景や会話を想像して、かなりの時間を費やす傾向がある。,4
自分を救ってくれて、このうっとうしい混乱すべてから連れ去ってくれる人を待ち望む。,4
ものごとが辛くなると、自分が崩れ、あきらめる傾向にある―もしかしたら、あきらめが早すぎるかもしれない。,4
悪趣味以外は、ほとんど何でも許せる。,4
一般的に、ほかの人たちとあまり親密に働くことを好まない。,4
自分自身を見つけること、そして感情の欲求に従うのが、私にとってきわめて重要な動機である。,4
リードするのも従うのも好まない。,4
自分の直感にはっきり気づいている。それに従って行動する勇気があるかどうかは、ともかくとして。,4
私はものごとを深く調べ、詳細にわたって熟考し、できるだけ完全に解明するのが好きだ。,5
私はきわめて非社交的で、多くの人を自分の世界に入ってこさせない。,5
私は自分があまり目立つとかパワフルだとは思わない。目立たないので、いいスパイになれるぐらいだ！,5
人は、私が大半の時間、何を考えているかを知ったら狂っていると思うだろう。,5
正確な情報を手に入れることによってのみ、理性的決断ができる――それでも大半の人はあまり理性的ではない。,5
家族は、私が少し奇妙だとかエキセントリックだと思っていて、もっと外に出たほうがいいと何度もいってきた。,5
私はその気になれば長い議論ができるが、大半の時間は、周囲の馬鹿馬鹿しさをただ見ていたい。,5
（私は）「問題を解決したいのなら、私ひとりに任せてみてください。解決法を見つけます」（という考え方をもっている）。,5
（私は）「本当に考えてみたなら、いわゆる通常の行動ほど奇妙なものはありません」（という考え方をもっている）。,5
自分が取り組んでいるプロジェクトを細かく調整するのに、時間がかかる傾向がある。,5
大半の人たちが信じられないほど無知であるにもかかわらず、ものごとが機能していること自体驚きだ。,5
たくさんのことについて、私は多くを知っている。そしていくつかの分野については、自分は専門家だと思っている。,5
私はきわめて好奇心が強く、ものごとのありようを調べるのが楽しい。明白なことでも、よく見てみればそれほどはっきりしていないことがわかる。,5
私の頭の働きはきわめて集中していて活発である。そのため、火が燃えているように感じることがよくある。,5
自分がしていることに完全に集中していると、時間感覚を失うことがよくある。,5
私は権威に惹かれるが、同時に疑間を感じる。,6
私はとても感情的だが、自分が感じていることをあまり表に出さない――親しい人は別だが、それでもいつもというわけではない。,6
自分が間違いを犯せば、みんなに叩かれるのではないかと恐れる。,6
期待されたことをするほうが、自分から始めるよりも安全だと感じる。,6
私は、常にルールに賛成というわけではない――そして必ずしも従うわけではない―でも、ルールが何かは知りたい！,6
私は人に強い第一印象をもつ傾向があり、それを変えるのは難しい。,6
自分にとって、本当に尊敬する人たちが何人かいる。――英雄のようなものだ。,6
大きな決断を下すのは好きではないが、もちろんほかの人に自分のことを決めてほしくない!,6
私のことを神経質だと思っている人もいるが、半分しかわかっていない！,6
自分がどれだけ失敗するか知っているのだから、ほかの人たちがしていることに疑念をもったとしても、もっともなことだ。,6
私は人を信じたいが、その人の動機は何かとよく考えてしまう。,6
私は本当によく働く。仕上がるまで、コツコツ働きつづける。,6
自分が大きな決断を下す前に、信頼する人の意見を探ってみる。,6
実に奇妙なことだが、私はあらゆることに懐疑的で、冷淡的にもなり得るのに、突然、疑いもせず深く信じ込んでしまうことがある。,6
「不安」が、私のキーワードのようだ。,6
私は旅行したり、さまざまな食べ物や人々、体験に出合うことが好きだ。人生という素晴らしい旋風のすべてが！,7
私のカレンダーはいつも、予定でいっぱいになっている。そのようにしておきたい。一カ所に根を生やしたくない。,7
冒険を避けて安楽でいるよりも、興奮と変化が自分にとって重要だ。ただし、快適さを拒むことはない。,7
頭の中で、いつもおしゃべりしている―‐ときには、自分が一度に一〇のことを考えているような感じだ！,7
ひとつ自分が絶対に耐えられないのは、退屈することだ―‐そして、自分自身が退屈な存在であるとほかの人に決して感じさせたくない。,7
私が恋愛関係にあるときは、相手にかなり忠実だ。だが、その関係が終われば先に進む。,7
私には好奇心と冒険心がある。新しいものや面白いものを試してみるのは、普通、友人関係の中で自分が最初だ。,7
していることが楽しくなくなったらやめる。,7
私はたんに「楽しい人」ということはない-自分にはシリアスで、暗い側面さえある。ただ、あまりそちらのほうには行きたくない。,7
大きな構想を描くほうが得意で、詳細を詰めるのはあまりうまくない。新しいアイディアをどんどん出していくほうが、それらを遂行することにかかわるよりも楽しい。,7
私が本当に何かを欲しいとき、いつも手に入れる方法を見つける。,7
ときどき落ち込むできごとがあるが、すぐにまた立ち直る。,7
私のおもな問題のひとつは、気が散りやすく散漫になることだ。,7
私は、おそらくお金を使いすぎる傾向がある。,7
私が行こうとしているところに行きたいと思ってくれるんだったら、ほかの人たちが緒に来てくれるのは素晴らしいことだ。,7
私はきわめて独立心が強く、自分が本当に必要としているもののために、他人を頼りにするのは好きではない。,8
「新しく何かを作るためには、古いものを壊す必要がある」と感じる。,8
私が人のことを気づかうとき、「自分が責任をもっている人たち」として考えはじめることがよくある。そして彼らのために、自分が気をつけてやらなければいけないと感じる。,8
どうやって結果を出せばいいかを知っている。ものごとを成し遂げるために、どう人に報い、どうプレツシャーを与えればいいかがわかる。,8
弱く煮え切らない人たちには、あまり共感できない――弱さはトラブルを招くだけだ。,8
私の意志は強く、かんたんにあきらめたり引き下がりはしない。,8
自分が育てた人が自立するのを見ることほど、誇らしく感じることはない。,8
私は優しくていささか感傷的ですらあるが、それはほとんどの人に見せない。,8
知人たちは、私が彼らにストレートに話し、自分が考えたことをそのまま伝えるのをいいことだと思ってくれる。,8
自分がもっているものはすべて、一生懸命働いたゆえんである。奮闘することがいいのは、自分がタフになり、何を求めているかが明らかになるから。,8
私は自分自身を挑戦者と考える。そして人がベストの状態を達成するため、快適な範囲を超えさせるのだ。,8
私のユ-モア感覚は、俗っぱくときに下品ですらある。大半の人たちはとりすましていて、敏感すぎると思う。,8
私は激しい怒りをもつことがあるが、それはすぐ過ぎ去る。,8
ほかの人が不可能だと考えていることを自分がやるとき、一番生きがいを感じる。限界まで挑戦することが好きだ。,8
通常、誰かが負けることになるが、それは自分であってほしくない。,8
人が私を好きなところは、そばにいて安全だと感じることらしい。,9
自分自身が平和である限り、ひとりでも、人と一緒でも、どちらでも構わない。,9
私は人生においてある種のバランスを見つけた。それをだめにしたくない。,9
「快適である」ということは、私にとって大きな魅力である。,9
騒ぎを起こすよりは、人に譲歩したい。,9
具体的にはどうするのかわからないが、自分はものごとに影響されないようにする。,9
私を喜ばせるのはかなりかんたんだ。そして普通、私は自分がもっているもので十分だと感じている。,9
私は気が散っていて、ぼんやりしているようだといわれたことがある――事実としては、ものごとを理解していても反応したくないのだ。,9
自分はとくに頑固だと思わないが、いったん決心すると譲らないことがあると人はいう。,9
大半の人は、かんたんに感情的になってしまう。自分ははるかに安定している。,9
人生がもたらすものを受け入れる必要がある。いずれにせよ自分にできることは、そうはないのだから！,9
さまざまな観点を理解しやすい。そして人と意見が異なるよりも、同意するほうが多い。,9
否定的なことを考えるよりも、肯定的なところに重点を置いたほうがいい。,9
人生観といえるものを自分はもっている。それは私を導き、困難なときにも多くの慰めを与えてくれる。,9
私は昼間、するべきことを行うが、一日が終わると、どうリラックスし楽にすればいいかをよくわかっている。,9